batch,track_id,hit_IDs,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits,correct_tracks,tid
0,12,"[77988909, 150160258, 149892752, 219065741]","[22.15787771693065, 22.15787771693065, 22, 22]","[22.15379698216607, 22.15379698216607, 22, 22]","[-0.005759902744322605, -0.005759902744322605, 0, 0]","[0.4116630928225547, 0.4116630928225547, 0, 0]",4,1,47335
0,14,"[77988909, 181692877, 149892752, 254644337]","[22.15787771693065, 22.15787771693065, 22, 22]","[22.15379698216607, 22.15379698216607, 22, 22]","[-0.005759902744322605, -0.005759902744322605, 0, 0]","[0.4116630928225547, 0.4116630928225547, 0, 0]",4,1,47335
0,16,"[77988909, 179178055, 150160258, 219065741]","[22.15787771693065, 22.15787771693065, 22, 22]","[22.15379698216607, 22.15379698216607, 22, 22]","[-0.005759902744322605, -0.005759902744322605, 0, 0]","[0.4116630928225547, 0.4116630928225547, 0, 0]",4,1,47335
1,7,"[79934045, 180939128, 158299335, 256410872, 10724809, 79934045]","[28.5867260128779, 28.5867260128779, 28, 28, 28, 28]","[28.356743290809206, 28.356743290809206, 28, 28, 28, 28]","[-0.06539625087810128, -0.06539625087810128, 0, 0, 0, 0]","[-0.9841212278345356, -0.9841212278345356, 0, 0, 0, 0]",6,1,62757
2,0,"[2276102, 71482745, 71482745, 135054879, 135054879, 204225966]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,1,"[2461008, 80055920, 71482745, 151794454, 135054879, 206276341]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,2,"[4373237, 71482745, 71482745, 153840558, 135054879, 204178948]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,7,"[10697169, 71509854, 71571915, 135177017, 135177017, 204347075]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,8,"[10697169, 71666900, 71666900, 135280709, 135177017, 204225966]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,9,"[10849979, 80055920, 71666900, 135177017, 135177017, 206276341]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,10,"[79861075, 135054879, 135177017, 204178948, 2461008, 79903618]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,11,"[79861075, 135177017, 135506417, 202578121, 10849979, 71666900]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
2,29,"[151794454, 223066309, 80055920, 154268804, 4401107, 71482745]","[25.393952398213194, 25.393952398213194, 25, 25, 25, 25]","[25.393358087198024, 25.393358087198024, 25, 25, 25, 25]","[0.0010767163656456062, 0.0010767163656456062, 0, 0, 0, 0]","[0.6379361529378053, 0.6379361529378053, 0, 0, 0, 0]",6,1,22842
